,Unnamed: 0,User Id,Comment Id,Comment Text,Publish Date,Comment Length,sentiment,sent
181,181,321994957,18318839629118040,"I wish he said something like ""I had never heard of her before BUT now I am a fan. We lift each other up. I love her altheticisism so we work out together""....something ducking realistic instead of just putting her down!",2023-12-25,220.0,0.9125,Positive
182,182,38947843,17905601765902384,https://www.youtube.com/live/8O9d16OBAyw?si=qfZ-buw9gUfasU82,2023-12-25,60.0,0.0,Neutral
183,183,271787024,17982540809395494,"@jujub.jones_ and women desperate to prop them up, see Whitney and Bobby, Keke and that guy … desperate to be loved leading to poor choices in men",2023-12-25,146.0,-0.4215,Negative
184,184,217988370,18244531636241766,And I still can’t comprehend why he would do this. Like what’s the purpose bro,2023-12-24,78.0,0.4357,Positive
185,185,4119735561,18036770488635022,@whitstagramm watch the full interview on @thepivot. His response seems harmless to be honest.,2023-12-24,94.0,0.6486,Positive
186,186,5485788065,17986367894607190,Simon bile’s husbands wife,2023-12-24,26.0,0.0,Neutral
187,187,358446897,17875851980986826,❤️❤️❤️🌹,2023-12-24,7.0,0.0,Neutral
188,188,1495516064,18020459953796209,We’re not done yet bcz why are you w someone toxic lol,2023-12-24,54.0,0.4215,Positive
189,189,1413865093,17965264646674547,"@phresh_princesse well, where's your man?",2023-12-24,41.0,0.2732,Positive
190,190,1413865093,17975529719499521,@queen_miaa99 where's your husband expert?,2023-12-24,42.0,0.0,Neutral
191,191,204067943,17998326683160543,"After what he said, he truly DOES NOT deserve her!",2023-12-24,50.0,0.4926,Positive
192,192,31498616,17962536893678097,"@jowens I mean if she was your best friend, you would have said one thing to uplift her.",2023-12-24,88.0,0.8126,Positive
193,193,890247655,18022414711765561,"i want u break up wit him ill treat u better, that nigga tweaking",2023-12-24,65.0,0.4767,Positive
194,194,1772987302,18015139148047252,"@miz_crizzy getting himself together for me as i am for him when it’s time for us to meet. but frankly, all that info is irrelevant to my point- i said what i said. any woman would prefer for their man to gush over them when given the opportunity, rather stroking their own ego. well, maybe you would be ok with the latter but that’s your cup of tea, it’s not mine.",2023-12-24,365.0,0.8462,Positive
195,195,3967879077,18410070220054363,SIMP marry too…just saying,2023-12-24,26.0,0.0,Neutral
196,196,3967879077,17998201910517746,"SIMONE ENJOY YOUR MARRIAGE AND HUSBAND!!! Let all this full of negativity and bitterness woman #femenist talk. « Feminism is trash » You found a good one and  as long as both of you are working together, I pray that your and your family are blessed and safe forever!!!",2023-12-24,268.0,0.9022,Positive
197,197,9392433193,18032523199683684,simone biles is america… idk who this man is tho,2023-12-24,48.0,-0.1027,Negative
198,198,9340559,18402757210008076,"You deserve better bestie. You are the GOAT, he is just some dude",2023-12-24,65.0,0.4404,Positive
199,199,1511777057,17876664315005750,Who is that you’re with,2023-12-24,23.0,0.0,Neutral
200,200,216097429,18016342756869176,Thank you for an incredible 2023! Sending lots of love to the Owens for 2024.,2023-12-31,77.0,0.7901,Positive
201,201,18672182,18043029052533557,You guys make me so happy! May god bless and cover you! Happy New Year!,2024-01-01,71.0,0.938,Positive
202,202,187488694,17906778947899419,Love it,2024-01-01,7.0,0.6369,Positive
203,203,3216866028,18241473163244986,Bless couple,2024-01-01,12.0,0.4215,Positive
204,204,1909880622,18001298642123447,I love you guys!! ♥️ Stay blessed and may God continue to protect your marriage!!,2024-01-01,81.0,0.9594,Positive
205,205,4378994138,17889692087904273,Merry Christmas and Happy New Year to two incredible athletes and a  beautiful couple! ❤️❤️,2024-01-01,91.0,0.908,Positive
206,206,347490232,18320011798142960,@rebekahjaee same sentiment  and im not even ashamed of it.,2024-01-01,59.0,0.3724,Positive
207,207,892508747,17997976637185931,Merry Christmas to Simone!!! and Simone’s husband I guess,2023-12-31,57.0,0.6571,Positive
208,208,13391193084,18331255315100688,"Aww, your first Christmas as a married couple! 🥹 ★I have a scarf { with that EXACT SAME pattern & colors } that I wore all last week!  Great minds ...★😏",2023-12-31,152.0,0.6892,Positive
209,209,6927312595,18112535557353831,"Merry Christmas and Happy New Year to the two of you, Simone Biles (The Best American Gymnast) and husband Jonathan James Owens (American awesome football player for the Green Bay Packers) of the National Football League!😀",2023-12-31,222.0,0.9601,Positive
210,210,508766001,17962450715569919,nah this ain’t it.,2023-12-31,18.0,-0.1027,Negative
211,211,26805234495,17994898388247444,run girly,2023-12-31,9.0,0.0,Neutral
212,212,460223672,18248636386212540,Merry Christmas to Mrs. Simone Biles And Mr. Simone Biles’ husband,2023-12-31,66.0,0.5423,Positive
213,213,2075458045,17972513096649254,Blessings and happiness!!,2023-12-31,25.0,0.8264,Positive
214,214,1821326553,18408431353046358,❤️,2023-12-30,2.0,0.0,Neutral
215,215,2134531198,18277993567092875,I love you guys!!,2023-12-30,17.0,0.6988,Positive
